lap,driver_code,driver_name,constructor,lap_time_ms,cumulative_time_ms,position,is_pit_lap,pit_stop_number,pit_duration_ms,total_stops_so_far,stint_number,lap_in_stint,grid_position,final_position
1,PIA,Piastri,McLaren,86746,86746,1,False,,,0,1,1,2,1
1,VER,Verstappen,Red Bull,88336,88336,2,False,,,0,1,1,3,5
1,NOR,Norris,McLaren,89389,89389,3,False,,,0,1,1,1,2
1,HAM,Hamilton,Mercedes,90241,90241,4,False,,,0,1,1,5,3
1,LEC,Leclerc,Ferrari,91218,91218,5,False,,,0,1,1,6,4
1,ALO,Alonso,Aston Martin,91876,91876,6,False,,,0,1,1,7,11
1,SAI,Sainz,Ferrari,92367,92367,7,False,,,0,1,1,4,6
1,STR,Stroll,Aston Martin,92820,92820,8,False,,,0,1,1,8,10
1,ALB,Albon,Williams,93240,93240,9,False,,,0,1,1,13,14
1,MAG,Magnussen,Haas F1 Team,93837,93837,10,False,,,0,1,1,15,15
1,RIC,Ricciardo,RB F1 Team,94329,94329,11,False,,,0,1,1,9,12
1,TSU,Tsunoda,RB F1 Team,95046,95046,12,False,,,0,1,1,10,9
1,BOT,Bottas,Sauber,95430,95430,13,False,,,0,1,1,12,16
1,HUL,Hülkenberg,Haas F1 Team,95921,95921,14,False,,,0,1,1,11,13
1,OCO,Ocon,Alpine F1 Team,96411,96411,15,False,,,0,1,1,19,18
1,RUS,Russell,Mercedes,96915,96915,16,False,,,0,1,1,17,8
1,PER,Pérez,Red Bull,97441,97441,17,False,,,0,1,1,16,7
1,SAR,Sargeant,Williams,97623,97623,18,False,,,0,1,1,14,17
1,ZHO,Zhou,Sauber,97963,97963,19,False,,,0,1,1,18,19
1,GAS,Gasly,Alpine F1 Team,98598,98598,20,False,,,0,1,1,0,20
2,PIA,Piastri,McLaren,84038,170784,1,False,,,0,1,2,2,1
2,VER,Verstappen,Red Bull,84026,172362,2,False,,,0,1,2,3,5
2,NOR,Norris,McLaren,84240,173629,3,False,,,0,1,2,1,2
2,HAM,Hamilton,Mercedes,84832,175073,4,False,,,0,1,2,5,3
2,LEC,Leclerc,Ferrari,85076,176294,5,False,,,0,1,2,6,4
2,ALO,Alonso,Aston Martin,86085,177961,6,False,,,0,1,2,7,11
2,SAI,Sainz,Ferrari,86038,178405,7,False,,,0,1,2,4,6
2,STR,Stroll,Aston Martin,86376,179196,8,False,,,0,1,2,8,10
2,ALB,Albon,Williams,86441,179681,9,False,,,0,1,2,13,14
2,MAG,Magnussen,Haas F1 Team,86680,180517,10,False,,,0,1,2,15,15
2,RIC,Ricciardo,RB F1 Team,86602,180931,11,False,,,0,1,2,9,12
2,TSU,Tsunoda,RB F1 Team,86461,181507,12,False,,,0,1,2,10,9
2,BOT,Bottas,Sauber,86578,182008,13,False,,,0,1,2,12,16
2,OCO,Ocon,Alpine F1 Team,86711,183122,14,False,,,0,1,2,19,18
2,RUS,Russell,Mercedes,86918,183833,15,False,,,0,1,2,17,8
2,SAR,Sargeant,Williams,86841,184464,16,False,,,0,1,2,14,17
2,HUL,Hülkenberg,Haas F1 Team,88821,184742,17,True,1.0,22287.0,1,1,2,11,13
2,PER,Pérez,Red Bull,87372,184813,18,False,,,0,1,2,16,7
2,ZHO,Zhou,Sauber,87425,185388,19,False,,,0,1,2,18,19
2,GAS,Gasly,Alpine F1 Team,87321,185919,20,False,,,0,1,2,0,20
3,PIA,Piastri,McLaren,84401,255185,1,False,,,0,1,3,2,1
3,VER,Verstappen,Red Bull,84075,256437,2,False,,,0,1,3,3,5
3,NOR,Norris,McLaren,84393,258022,3,False,,,0,1,3,1,2
3,HAM,Hamilton,Mercedes,84679,259752,4,False,,,0,1,3,5,3
3,LEC,Leclerc,Ferrari,84647,260941,5,False,,,0,1,3,6,4
3,SAI,Sainz,Ferrari,84871,263276,6,False,,,0,1,3,4,6
3,ALO,Alonso,Aston Martin,86908,264869,7,False,,,0,1,3,7,11
3,STR,Stroll,Aston Martin,86471,265667,8,False,,,0,1,3,8,10
3,ALB,Albon,Williams,86583,266264,9,False,,,0,1,3,13,14
3,MAG,Magnussen,Haas F1 Team,86600,267117,10,False,,,0,1,3,15,15
3,RIC,Ricciardo,RB F1 Team,86545,267476,11,False,,,0,1,3,9,12
3,TSU,Tsunoda,RB F1 Team,86681,268188,12,False,,,0,1,3,10,9
3,BOT,Bottas,Sauber,86586,268594,13,False,,,0,1,3,12,16
3,OCO,Ocon,Alpine F1 Team,86303,269425,14,False,,,0,1,3,19,18
3,RUS,Russell,Mercedes,86012,269845,15,False,,,0,1,3,17,8
3,SAR,Sargeant,Williams,85954,270418,16,False,,,0,1,3,14,17
